,X,Y,Cat1,Cat2
0,-0.750826687834862,0.46438261087971977,A,A
1,4.414392096485466,3.2085854224940844,A,A
2,-2.71507288180169,-3.17886066175081,A,A
3,0.8478666327902826,0.5927810980173223,A,A
4,0.6677761265585578,1.324935413887296,A,A
5,2.3169779284471095,4.171294561503883,A,A
6,-1.923184729079031,-1.7340325591938253,A,A
7,2.1481539119401827,0.6922287070376735,A,A
8,-0.07288397971378846,1.3459234791409633,A,A
9,2.0099203527857625,2.520966032864208,A,A
10,-1.4200493611694884,-2.869786651683769,A,A
11,0.3849558611955225,0.5023330795905817,A,A
12,-3.4201042900763436,-2.3791650534306434,A,A
13,-4.505408878732157,-2.486447509683678,A,A
14,0.7242219125090733,1.0504340144731383,A,A
15,-1.2775665711182027,0.43771879245986733,A,A
16,-2.874992538562661,-0.6542504383260104,A,A
17,0.6679634178003151,-2.9573480536475065,A,A
18,-0.1601051502830757,1.9590810519711128,A,A
19,3.2262877754932298,4.697260102405327,A,A
20,-0.9379170143541384,0.8605113995047419,A,A
21,0.9826755703555621,-1.1854371650275313,A,A
22,1.9894399469913748,1.3113854895735992,A,A
23,2.8331868373010622,4.175479126462721,A,A
24,-3.2424917395899553,-2.372168411273212,A,A
25,3.408496884052071,0.5721952633654688,A,A
26,-5.866772790113169,-4.2940569154325345,A,A
27,-0.05625906270138781,-1.2890437476951395,A,A
28,-0.7156090494103251,-2.975132533346569,A,A
29,0.711684650120816,-2.0708424217272094,A,A
30,-0.4120635303084964,-0.47362890384094347,A,A
31,-2.0472086583066442,-1.1093285321295006,A,A
32,2.555066983921693,2.7919044812472293,A,A
33,-0.015051849821707708,-1.2118190511710856,A,A
34,-0.4879152790254336,0.2620009372222276,A,A
35,-1.3758466209978186,-0.0065206592029255495,A,A
36,-4.053776673626574,-2.3818039276044463,A,A
37,0.8001076005880383,1.6207472200796111,A,A
38,-0.23597165700458766,-0.6851894688405591,A,A
39,4.89690618840259,3.1760791153430166,A,A
40,-1.7782844835966203,-1.33961916325648,A,A
41,-0.4622466156408689,0.9709776366044487,A,A
42,-1.8436221927998409,-2.815298158818015,A,A
43,0.29122403400432084,2.665710200372533,A,A
44,1.0821414859314866,-0.16225217959966443,A,A
45,-0.19576710370726003,0.300282277480037,A,A
46,0.492441024395906,0.6806181202362463,A,A
47,-1.2368531454910223,1.0537410501676217,A,A
48,-1.0064808504072507,-2.2793637836794636,A,A
49,-1.824959839619152,-0.5334427878029259,A,A
50,-4.674572801367235,-5.398215777473882,A,A
51,-1.66801469516734,-1.5030802215811936,A,A
52,0.5373227826343636,1.515505814401017,A,A
53,0.46870842434546667,2.790721342598349,A,A
54,4.601827305734242,2.016939341143583,A,A
55,2.5427471232609475,2.7440846294707835,A,A
56,-1.7876688001379688,-2.5689489655149136,A,A
